id_veiculo,servico,timestamp_gps,posicao_veiculo_geo
B51612,GARAGEM,2023-02-14 00:00:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:00:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:01:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:01:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:02:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:02:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:03:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:03:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:04:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:04:31,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:05:01,POINT(-43.36782 -22.87651)
B51612,GARAGEM,2023-02-14 00:05:31,POINT(-43.36782 -22.87651)
A50002,608,2023-02-14 00:05:51,POINT(-43.25378 -22.92924)
B51612,GARAGEM,2023-02-14 00:06:01,POINT(-43.36782 -22.87651)
A50002,608,2023-02-14 00:06:21,POINT(-43.25378 -22.92924)
B51612,GARAGEM,2023-02-14 00:06:31,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:06:51,POINT(-43.25378 -22.92924)
B51612,GARAGEM,2023-02-14 00:07:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:07:21,POINT(-43.25378 -22.92924)
B51612,GARAGEM,2023-02-14 00:07:31,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:07:51,POINT(-43.25378 -22.92924)
B51612,GARAGEM,2023-02-14 00:08:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:08:21,POINT(-43.25378 -22.92924)
B51612,GARAGEM,2023-02-14 00:08:31,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:08:51,POINT(-43.25379 -22.92924)
B51612,GARAGEM,2023-02-14 00:09:01,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:09:21,POINT(-43.25397 -22.92952)
B51612,GARAGEM,2023-02-14 00:09:31,POINT(-43.36782 -22.87651)
A50002,301,2023-02-14 00:09:51,POINT(-43.25399 -22.92951)
