id_veiculo,servico,timestamp_gps,posicao_veiculo_geo,status_viagem
C50068,SP805,2023-02-14 04:58:14,POINT(-43.3662 -23.00497),start
C50068,SP805,2023-02-14 04:58:44,POINT(-43.36629 -23.00903),middle
C50068,SP805,2023-02-14 04:59:14,POINT(-43.36653 -23.01023),middle
C50068,SP805,2023-02-14 04:59:44,POINT(-43.37041 -23.01085),middle
C50068,SP805,2023-02-14 05:00:14,POINT(-43.3692 -23.01102),middle
C50068,SP805,2023-02-14 05:00:44,POINT(-43.36469 -23.01084),middle
C50068,SP805,2023-02-14 05:01:14,POINT(-43.36284 -23.01077),middle
C50068,SP805,2023-02-14 05:01:44,POINT(-43.35936 -23.01063),middle
C50068,SP805,2023-02-14 05:02:14,POINT(-43.35657 -23.01051),middle
C50068,SP805,2023-02-14 05:02:44,POINT(-43.3543 -23.01045),middle
C50068,SP805,2023-02-14 05:03:14,POINT(-43.35064 -23.01037),middle
C50068,SP805,2023-02-14 05:03:44,POINT(-43.3483 -23.01035),middle
C50068,SP805,2023-02-14 05:04:14,POINT(-43.34555 -23.0104),middle
C50068,SP805,2023-02-14 05:04:44,POINT(-43.34265 -23.01044),middle
C50068,SP805,2023-02-14 05:05:14,POINT(-43.33975 -23.01049),middle
C50068,SP805,2023-02-14 05:05:44,POINT(-43.33759 -23.0106),middle
C50068,SP805,2023-02-14 05:06:14,POINT(-43.33414 -23.01075),middle
C50068,SP805,2023-02-14 05:06:44,POINT(-43.32953 -23.0111),middle
C50068,SP805,2023-02-14 05:07:14,POINT(-43.32793 -23.01129),middle
C50068,SP805,2023-02-14 05:07:44,POINT(-43.32626 -23.01151),middle
C50068,SP805,2023-02-14 05:08:14,POINT(-43.32249 -23.01207),middle
C50068,SP805,2023-02-14 05:08:44,POINT(-43.31717 -23.01323),middle
C50068,SP805,2023-02-14 05:09:14,POINT(-43.31393 -23.014),middle
C50068,SP805,2023-02-14 05:09:44,POINT(-43.31102 -23.0145),middle
C50068,SP805,2023-02-14 05:10:14,POINT(-43.30901 -23.0149),middle
C50068,SP805,2023-02-14 05:10:44,POINT(-43.30566 -23.01472),middle
C50068,SP805,2023-02-14 05:11:14,POINT(-43.30518 -23.01254),end
C50068,SP805,2023-02-14 05:13:44,POINT(-43.30968 -23.0108),start
C50068,SP805,2023-02-14 05:14:14,POINT(-43.31079 -23.01207),middle
C50068,SP805,2023-02-14 05:14:44,POINT(-43.31244 -23.01307),middle
C50068,SP805,2023-02-14 05:15:14,POINT(-43.31621 -23.01336),middle
C50068,SP805,2023-02-14 05:15:44,POINT(-43.3211 -23.0122),middle
C50068,SP805,2023-02-14 05:16:14,POINT(-43.32299 -23.01176),middle
C50068,SP805,2023-02-14 05:16:44,POINT(-43.32713 -23.01117),middle
C50068,SP805,2023-02-14 05:17:14,POINT(-43.33199 -23.0107),middle
C50068,SP805,2023-02-14 05:17:44,POINT(-43.33707 -23.0104),middle
C50068,SP805,2023-02-14 05:18:14,POINT(-43.34206 -23.01021),middle
C50068,SP805,2023-02-14 05:18:44,POINT(-43.34609 -23.01017),middle
